accession	length_nt	description
DQ270233.1	909	DQ270233.1 Human respiratory syncytial virus B isolate H5601 glycoprotein (G) gene, complete cds
DQ270227.1	975	DQ270227.1 Human respiratory syncytial virus B isolate H1068 glycoprotein (G) gene, complete cds
DQ270232.1	909	DQ270232.1 Human respiratory syncytial virus B isolate H5598 glycoprotein (G) gene, complete cds
DQ270230.1	915	DQ270230.1 Human respiratory syncytial virus B isolate H1123 glycoprotein (G) gene, complete cds
KC297465.1	960	KC297465.1 Human respiratory syncytial virus B strain BJ/27714 attachment glycoprotein (G) gene, complete cds
KC297476.1	960	KC297476.1 Human respiratory syncytial virus B strain BJ/35435 attachment glycoprotein (G) gene, complete cds
KC297480.1	960	KC297480.1 Human respiratory syncytial virus B strain BJ/F5610 attachment glycoprotein (G) gene, complete cds
HQ699296.1	933	HQ699296.1 Human respiratory syncytial virus B strain B/Korea/CB212/09 G glycoprotein (G) mRNA, complete cds
KC297424.1	960	KC297424.1 Human respiratory syncytial virus B strain BJ/20210 attachment glycoprotein (G) gene, complete cds
KC297482.1	960	KC297482.1 Human respiratory syncytial virus B strain BJ/F9164 attachment glycoprotein (G) gene, complete cds
HQ699307.1	933	HQ699307.1 Human respiratory syncytial virus B strain B/Korea/CB849/09 G glycoprotein (G) mRNA, complete cds
KC297439.1	960	KC297439.1 Human respiratory syncytial virus B strain BJ/22766 attachment glycoprotein (G) gene, complete cds
KC297489.1	966	KC297489.1 Human respiratory syncytial virus B strain BJ/F9871 attachment glycoprotein (G) gene, complete cds
KC297490.1	966	KC297490.1 Human respiratory syncytial virus B strain BJ/F9873 attachment glycoprotein (G) gene, complete cds
HQ699292.1	933	HQ699292.1 Human respiratory syncytial virus B strain B/Korea/CB127/08 G glycoprotein (G) mRNA, complete cds
KC297466.1	900	KC297466.1 Human respiratory syncytial virus B strain BJ/28202 attachment glycoprotein (G) gene, complete cds
KC297464.1	960	KC297464.1 Human respiratory syncytial virus B strain BJ/27439 attachment glycoprotein (G) gene, complete cds
KC297429.1	966	KC297429.1 Human respiratory syncytial virus B strain BJ/20457 attachment glycoprotein (G) gene, complete cds
HQ699305.1	933	HQ699305.1 Human respiratory syncytial virus B strain B/Korea/CB810/09 G glycoprotein (G) mRNA, complete cds
HQ699290.1	933	HQ699290.1 Human respiratory syncytial virus B strain B/Korea/CB1120/10 G glycoprotein (G) mRNA, complete cds
KC297422.1	960	KC297422.1 Human respiratory syncytial virus B strain BJ/20050 attachment glycoprotein (G) gene, complete cds
KC297468.1	900	KC297468.1 Human respiratory syncytial virus B strain BJ/29348 attachment glycoprotein (G) gene, complete cds
HQ699291.1	933	HQ699291.1 Human respiratory syncytial virus B strain B/Korea/CB118/08 G glycoprotein (G) mRNA, complete cds
KC297440.1	960	KC297440.1 Human respiratory syncytial virus B strain BJ/22850 attachment glycoprotein (G) gene, complete cds
HQ699287.1	933	HQ699287.1 Human respiratory syncytial virus B strain B/Korea/CB1031/10 G glycoprotein (G) mRNA, complete cds
KC297458.1	960	KC297458.1 Human respiratory syncytial virus B strain BJ/23710 attachment glycoprotein (G) gene, complete cds
KC297493.1	966	KC297493.1 Human respiratory syncytial virus B strain BJ/F9996 attachment glycoprotein (G) gene, complete cds
KC297473.1	960	KC297473.1 Human respiratory syncytial virus B strain BJ/34613 attachment glycoprotein (G) gene, complete cds
HQ699294.1	933	HQ699294.1 Human respiratory syncytial virus B strain B/Korea/CB169/08 G glycoprotein (G) mRNA, complete cds
KC297450.1	900	KC297450.1 Human respiratory syncytial virus B strain BJ/23273 attachment glycoprotein (G) gene, complete cds
HQ699309.1	933	HQ699309.1 Human respiratory syncytial virus B strain B/Korea/CB975/10 G glycoprotein (G) mRNA, complete cds
KC297474.1	900	KC297474.1 Human respiratory syncytial virus B strain BJ/35141 attachment glycoprotein (G) gene, complete cds
HQ699298.1	933	HQ699298.1 Human respiratory syncytial virus B strain B/Korea/CB29/08 G glycoprotein (G) mRNA, complete cds
HQ699301.1	933	HQ699301.1 Human respiratory syncytial virus B strain B/Korea/CB62/08 G glycoprotein (G) mRNA, complete cds
HQ699289.1	933	HQ699289.1 Human respiratory syncytial virus B strain B/Korea/CB1119/10 G glycoprotein (G) mRNA, complete cds
HQ699297.1	933	HQ699297.1 Human respiratory syncytial virus B strain B/Korea/CB612/09 G glycoprotein (G) mRNA, complete cds
KC297469.1	960	KC297469.1 Human respiratory syncytial virus B strain BJ/29361 attachment glycoprotein (G) gene, complete cds
KC297487.1	960	KC297487.1 Human respiratory syncytial virus B strain BJ/F9752 attachment glycoprotein (G) gene, complete cds
KC297471.1	900	KC297471.1 Human respiratory syncytial virus B strain BJ/29393 attachment glycoprotein (G) gene, complete cds
KU954901.1	933	KU954901.1 Human respiratory syncytial virus B strain 1817A/2010 attachment glycoprotein (G) gene, complete cds
KU954942.1	933	KU954942.1 Human respiratory syncytial virus B strain 1331A/2009 attachment glycoprotein (G) gene, complete cds
MF445721.1	948	MF445721.1 Human respiratory syncytial virus B strain FJ110106-23 attachment glycoprotein (G) gene, complete cds
KU954842.1	933	KU954842.1 Human respiratory syncytial virus B strain 3499A/2013 attachment glycoprotein (G) gene, complete cds
