accession	length_nt	description
U26830.1	1701	U26830.1 Influenza A virus (A/Beijing/32/1992(H3N2)) hemagglutinin gene, complete cds
EU021276.1	1701	EU021276.1 Influenza A virus (A/Thailand/CU282/2007(H3N2)) hemagglutinin (HA) mRNA, complete cds
EU199362.1	1701	EU199362.1 Influenza A virus (A/Wisconsin/24/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199367.1	1701	EU199367.1 Influenza A virus (A/Washington/14/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199370.1	1701	EU199370.1 Influenza A virus (A/Washington/20/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU021248.1	1698	EU021248.1 Influenza A virus (A/Thailand/CU53/2006(H1N1)) hemagglutinin (HA) mRNA, complete cds
EU021256.1	1698	EU021256.1 Influenza A virus (A/Thailand/CU57/2006(H1N1)) hemagglutinin (HA) mRNA, complete cds
EU199253.1	1701	EU199253.1 Influenza A virus (A/Pennsylvania/07/2006(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU021260.1	1698	EU021260.1 Influenza A virus (A/Thailand/CU68/2006(H1N1)) hemagglutinin (HA) mRNA, complete cds
EU199275.1	1701	EU199275.1 Influenza A virus (A/Idaho/03/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199252.1	1701	EU199252.1 Influenza A virus (A/Wyoming/02/2006(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU100720.1	1701	EU100720.1 Influenza A virus (A/Florida/01/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199371.1	1701	EU199371.1 Influenza A virus (A/Idaho/09/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199369.1	1701	EU199369.1 Influenza A virus (A/Minnesota/08/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199262.1	1701	EU199262.1 Influenza A virus (A/New Mexico/02/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199255.1	1701	EU199255.1 Influenza A virus (A/Colorado/05/2006(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199366.1	1701	EU199366.1 Influenza A virus (A/Brisbane/10/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU021258.1	1698	EU021258.1 Influenza A virus (A/Thailand/CU44/2006(H1N1)) hemagglutinin (HA) mRNA, complete cds
EU199343.1	1701	EU199343.1 Influenza A virus (A/Colorado/15/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199347.1	1701	EU199347.1 Influenza A virus (A/Texas/10/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
EU199344.1	1701	EU199344.1 Influenza A virus (A/Texas/08/2007(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds
