accession	length_nt	description
KC297269.1	903	KC297269.1 Human respiratory syncytial virus A strain BJ/28710 attachment glycoprotein (G) gene, complete cds
KC297404.1	903	KC297404.1 Human respiratory syncytial virus A strain BJ/F6201 attachment glycoprotein (G) gene, complete cds
JX976359.1	894	JX976359.1 Human respiratory syncytial virus A strain A/CU/15850/10 G glycoprotein (G) gene, complete cds
KC297243.1	903	KC297243.1 Human respiratory syncytial virus A strain BJ/23467 attachment glycoprotein (G) gene, complete cds
KC297362.1	903	KC297362.1 Human respiratory syncytial virus A strain BJ/35438 attachment glycoprotein (G) gene, complete cds
KC297370.1	903	KC297370.1 Human respiratory syncytial virus A strain BJ/36015 attachment glycoprotein (G) gene, complete cds
KC297375.1	903	KC297375.1 Human respiratory syncytial virus A strain BJ/36714 attachment glycoprotein (G) gene, complete cds
KC297397.1	903	KC297397.1 Human respiratory syncytial virus A strain BJ/F6103 attachment glycoprotein (G) gene, complete cds
KC297244.1	903	KC297244.1 Human respiratory syncytial virus A strain BJ/26893 attachment glycoprotein (G) gene, complete cds
KC297406.1	903	KC297406.1 Human respiratory syncytial virus A strain BJ/F6230 attachment glycoprotein (G) gene, complete cds
KC297259.1	903	KC297259.1 Human respiratory syncytial virus A strain BJ/28135 attachment glycoprotein (G) gene, complete cds
HQ699266.1	902	HQ699266.1 Human respiratory syncytial virus A strain A/Korea/CB120/08 G glycoprotein (G) mRNA, complete cds
KC297293.1	903	KC297293.1 Human respiratory syncytial virus A strain BJ/30390 attachment glycoprotein (G) gene, complete cds
KC297410.1	903	KC297410.1 Human respiratory syncytial virus A strain BJ/F6335 attachment glycoprotein (G) gene, complete cds
KC297281.1	903	KC297281.1 Human respiratory syncytial virus A strain BJ/29449 attachment glycoprotein (G) gene, complete cds
KC297324.1	903	KC297324.1 Human respiratory syncytial virus A strain BJ/33852 attachment glycoprotein (G) gene, complete cds
JX976357.1	894	JX976357.1 Human respiratory syncytial virus A strain A/CU/15080/10 G glycoprotein (G) gene, complete cds
KC297409.1	903	KC297409.1 Human respiratory syncytial virus A strain BJ/F6294 attachment glycoprotein (G) gene, complete cds
KC297377.1	903	KC297377.1 Human respiratory syncytial virus A strain BJ/37360 attachment glycoprotein (G) gene, complete cds
KC297373.1	903	KC297373.1 Human respiratory syncytial virus A strain BJ/36326 attachment glycoprotein (G) gene, complete cds
KC297278.1	903	KC297278.1 Human respiratory syncytial virus A strain BJ/29298 attachment glycoprotein (G) gene, complete cds
HQ699265.1	902	HQ699265.1 Human respiratory syncytial virus A strain A/Korea/CB22/08 G glycoprotein (G) mRNA, complete cds
KC297289.1	903	KC297289.1 Human respiratory syncytial virus A strain BJ/30044 attachment glycoprotein (G) gene, complete cds
KC297382.1	903	KC297382.1 Human respiratory syncytial virus A strain BJ/F5524 attachment glycoprotein (G) gene, complete cds
KC297249.1	903	KC297249.1 Human respiratory syncytial virus A strain BJ/27660 attachment glycoprotein (G) gene, complete cds
HQ699275.1	902	HQ699275.1 Human respiratory syncytial virus A strain A/Korea/CB1012/10 G glycoprotein (G) mRNA, complete cds
KC297325.1	903	KC297325.1 Human respiratory syncytial virus A strain BJ/33861 attachment glycoprotein (G) gene, complete cds
KC297318.1	903	KC297318.1 Human respiratory syncytial virus A strain BJ/27960 attachment glycoprotein (G) gene, complete cds
KC297282.1	903	KC297282.1 Human respiratory syncytial virus A strain BJ/29524 attachment glycoprotein (G) gene, complete cds
KC297361.1	903	KC297361.1 Human respiratory syncytial virus A strain BJ/35423 attachment glycoprotein (G) gene, complete cds
JX976364.1	894	JX976364.1 Human respiratory syncytial virus A strain A/CU/16631/10 G glycoprotein (G) gene, complete cds
MN007080.1	966	MN007080.1 Human respiratory syncytial virus A strain 4075-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
KU955195.1	894	KU955195.1 Human respiratory syncytial virus A strain 2513A/2011 attachment glycoprotein (G) gene, complete cds
KU955237.1	894	KU955237.1 Human respiratory syncytial virus A strain 2348A/2010 attachment glycoprotein (G) gene, complete cds
KU955269.1	894	KU955269.1 Human respiratory syncytial virus A strain 1366A/2009 attachment glycoprotein (G) gene, complete cds
MN007082.1	966	MN007082.1 Human respiratory syncytial virus A strain 4810-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
MN007049.1	966	MN007049.1 Human respiratory syncytial virus A strain 2459-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
KU955239.1	894	KU955239.1 Human respiratory syncytial virus A strain 2343A/2010 attachment glycoprotein (G) gene, complete cds
MF445767.1	966	MF445767.1 Human respiratory syncytial virus A strain FJ131222-27 attachment glycoprotein (G) gene, complete cds
MF445772.1	966	MF445772.1 Human respiratory syncytial virus A strain FJ141122-26 attachment glycoprotein (G) gene, complete cds
KU955217.1	894	KU955217.1 Human respiratory syncytial virus A strain 2417A/2011 attachment glycoprotein (G) gene, complete cds
MF445770.1	966	MF445770.1 Human respiratory syncytial virus A strain FJ141121-25 attachment glycoprotein (G) gene, complete cds
KU955228.1	894	KU955228.1 Human respiratory syncytial virus A strain 2378A/2010 attachment glycoprotein (G) gene, complete cds
KU955235.1	894	KU955235.1 Human respiratory syncytial virus A strain 2358A/2010 attachment glycoprotein (G) gene, complete cds
KU955276.1	897	KU955276.1 Human respiratory syncytial virus A strain 1097A/2008 attachment glycoprotein (G) gene, complete cds
MF445797.1	966	MF445797.1 Human respiratory syncytial virus A strain FJ110101-11 attachment glycoprotein (G) gene, complete cds
KU955176.1	894	KU955176.1 Human respiratory syncytial virus A strain 2591A/2011 attachment glycoprotein (G) gene, complete cds
KU955137.1	894	KU955137.1 Human respiratory syncytial virus A strain 3087A/2012 attachment glycoprotein (G) gene, complete cds
MF445756.1	966	MF445756.1 Human respiratory syncytial virus A strain FJ150219-36 attachment glycoprotein (G) gene, complete cds
MF445779.1	897	MF445779.1 Human respiratory syncytial virus A strain FJ090104-33 attachment glycoprotein (G) gene, complete cds
KU955129.1	894	KU955129.1 Human respiratory syncytial virus A strain 3113A/2012 attachment glycoprotein (G) gene, complete cds
KU955261.1	894	KU955261.1 Human respiratory syncytial virus A strain 1778A/2010 attachment glycoprotein (G) gene, complete cds
KU955226.1	894	KU955226.1 Human respiratory syncytial virus A strain 2386A/2010 attachment glycoprotein (G) gene, complete cds
KU955116.1	894	KU955116.1 Human respiratory syncytial virus A strain 336A/2007 attachment glycoprotein (G) gene, complete cds
MN007062.1	966	MN007062.1 Human respiratory syncytial virus A strain 5262-GD-CHN-2018 attachment glycoprotein (G) gene, complete cds
MF445784.1	894	MF445784.1 Human respiratory syncytial virus A strain FJ101225-02 attachment glycoprotein (G) gene, complete cds
MF445796.1	894	MF445796.1 Human respiratory syncytial virus A strain FJ110305-45 attachment glycoprotein (G) gene, complete cds
